,Time (ms),VConstant (v),VSpike (v),Temperature (C)
0,546.0,0.0,0.0,22.12
1,548.0,0.1564,0.2884,22.12
2,550.0,0.0293,0.2884,22.12
3,552.0,0.0196,0.2884,22.12
4,555.0,0.0147,0.2884,22.12
5,558.0,0.0098,0.2884,22.12
6,560.0,0.0,0.2884,22.12
7,562.0,0.0,0.2884,22.12
8,564.0,0.0,0.2884,22.12
9,566.0,0.0,0.2884,22.12
10,568.0,0.0,0.2884,22.12
11,570.0,0.0,0.2884,22.12
12,572.0,0.0,0.2884,22.12
13,574.0,0.0,0.2884,22.12
14,576.0,0.0,0.2884,22.12
15,578.0,0.0,0.2884,22.12
16,580.0,0.0,0.2884,22.12
17,582.0,0.0,0.2884,22.12
18,584.0,0.0,0.2884,22.12
19,586.0,0.0,0.2884,22.12
20,588.0,0.0,0.2884,22.12
21,590.0,0.0,0.2884,22.12
22,592.0,0.0,0.2884,22.12
23,594.0,0.0,0.2884,22.12
24,596.0,0.0,0.2884,22.12
25,599.0,0.0,0.2884,22.12
26,601.0,0.0,0.2884,22.12
27,603.0,0.0,0.2884,22.12
28,605.0,0.0,0.2884,22.12
29,607.0,0.0,0.2884,22.12
30,609.0,0.0,0.2884,22.12
31,611.0,0.0,0.2884,22.12
32,613.0,0.0,0.2884,22.12
33,615.0,0.0,0.2884,22.12
34,617.0,0.0,0.2884,22.12
35,619.0,0.0,0.2884,22.12
36,621.0,0.0,0.2884,22.12
37,623.0,0.0,0.2884,22.12
38,625.0,0.0,0.2884,22.12
39,627.0,0.0,0.2884,22.12
40,629.0,0.0,0.2884,22.12
41,632.0,0.0,0.2884,22.12
42,634.0,0.0,0.2884,22.12
43,636.0,0.0,0.2884,22.12
44,638.0,0.0,0.2884,22.12
45,641.0,0.0,0.2884,22.12
46,643.0,0.0,0.2884,22.12
47,645.0,0.0,0.2884,22.12
48,647.0,0.0,0.2884,22.12
49,649.0,0.1564,0.2786,22.12
50,651.0,0.0293,0.2786,22.12
51,653.0,0.0147,0.2786,22.12
52,655.0,0.0098,0.2786,22.12
53,657.0,0.0098,0.2786,22.12
54,659.0,0.0049,0.2786,22.12
55,661.0,0.0,0.2786,22.12
56,663.0,0.0,0.2786,22.12
57,665.0,0.0,0.2786,22.12
58,667.0,0.0,0.2786,22.12
59,669.0,0.0,0.2786,22.12
60,671.0,0.0,0.2786,22.12
61,673.0,0.0,0.2786,22.12
62,675.0,0.0,0.2786,22.12
63,677.0,0.0,0.2786,22.12
64,679.0,0.0,0.2786,22.12
65,681.0,0.0,0.2786,22.12
66,685.0,0.0,0.2786,22.12
67,687.0,0.0,0.2786,22.12
68,689.0,0.0,0.2786,22.12
69,691.0,0.0,0.2786,22.12
70,693.0,0.0,0.2786,22.12
71,695.0,0.0,0.2786,22.12
72,697.0,0.0,0.2786,22.12
73,699.0,0.0,0.2786,22.12
74,701.0,0.0,0.2786,22.12
75,703.0,0.0,0.2786,22.12
76,705.0,0.0,0.2786,22.12
77,707.0,0.0,0.2786,22.12
78,709.0,0.0,0.2786,22.12
79,711.0,0.0,0.2786,22.12
80,713.0,0.0,0.2786,22.12
81,715.0,0.0,0.2786,22.12
82,717.0,0.0,0.2786,22.12
83,719.0,0.0,0.2786,22.12
84,721.0,0.0,0.2786,22.12
85,723.0,0.0,0.2786,22.12
86,726.0,0.0,0.2786,22.12
87,728.0,0.0,0.2786,22.12
88,730.0,0.0,0.2786,22.12
89,732.0,0.0,0.2786,22.12
90,734.0,0.0,0.2786,22.12
91,736.0,0.0,0.2786,22.12
92,738.0,0.0,0.2786,22.12
93,740.0,0.0,0.2786,22.12
94,742.0,0.0,0.2786,22.12
95,744.0,0.0,0.2786,22.12
96,746.0,0.0,0.2786,22.12
97,748.0,0.0,0.2786,22.12
98,751.0,0.1564,0.2737,22.12
99,753.0,0.0293,0.2737,22.12
100,755.0,0.0147,0.2737,22.12
101,757.0,0.0098,0.2737,22.12
102,759.0,0.0098,0.2737,22.12
103,761.0,0.0,0.2737,22.12
104,763.0,0.0,0.2737,22.12
105,765.0,0.0,0.2737,22.12
106,768.0,0.0,0.2737,22.12
107,770.0,0.0,0.2737,22.12
108,772.0,0.0,0.2737,22.12
109,774.0,0.0,0.2737,22.12
110,776.0,0.0,0.2737,22.12
111,778.0,0.0,0.2737,22.12
112,780.0,0.0,0.2737,22.12
113,782.0,0.0,0.2737,22.12
114,784.0,0.0,0.2737,22.12
115,786.0,0.0,0.2737,22.12
116,788.0,0.0,0.2737,22.12
117,790.0,0.0,0.2737,22.12
118,792.0,0.0,0.2737,22.12
119,794.0,0.0,0.2737,22.12
120,796.0,0.0,0.2737,22.12
121,798.0,0.0,0.2737,22.12
122,800.0,0.0,0.2737,22.12
123,802.0,0.0,0.2737,22.12
124,804.0,0.0,0.2737,22.12
125,806.0,0.0,0.2737,22.12
126,808.0,0.0,0.2737,22.12
127,811.0,0.0,0.2737,22.12
128,813.0,0.0,0.2737,22.12
129,815.0,0.0,0.2737,22.12
130,818.0,0.0,0.2737,22.12
131,820.0,0.0,0.2737,22.12
132,822.0,0.0,0.2737,22.12
133,824.0,0.0,0.2737,22.12
134,826.0,0.0,0.2737,22.12
135,828.0,0.0,0.2737,22.12
136,830.0,0.0,0.2737,22.12
137,832.0,0.0,0.2737,22.12
138,834.0,0.0,0.2737,22.12
139,836.0,0.0,0.2737,22.12
140,838.0,0.0,0.2737,22.12
141,840.0,0.0,0.2737,22.12
142,842.0,0.0,0.2737,22.12
143,844.0,0.0,0.2737,22.12
144,846.0,0.0,0.2737,22.12
145,848.0,0.0,0.2737,22.12
146,850.0,0.0,0.2737,22.12
147,852.0,0.1564,0.2835,22.12
148,855.0,0.0293,0.2835,22.12
149,857.0,0.0098,0.2835,22.12
150,859.0,0.0098,0.2835,22.12
151,861.0,0.0098,0.2835,22.12
152,863.0,0.0,0.2835,22.12
153,865.0,0.0,0.2835,22.12
154,867.0,0.0,0.2835,22.12
155,869.0,0.0,0.2835,22.12
156,872.0,0.0,0.2835,22.12
157,874.0,0.0,0.2835,22.12
158,876.0,0.0,0.2835,22.12
159,878.0,0.0,0.2835,22.12
160,880.0,0.0,0.2835,22.12
161,882.0,0.0,0.2835,22.12
162,884.0,0.0,0.2835,22.12
163,886.0,0.0,0.2835,22.12
164,888.0,0.0,0.2835,22.12
165,890.0,0.0,0.2835,22.12
166,892.0,0.0,0.2835,22.12
167,894.0,0.0,0.2835,22.12
168,897.0,0.0,0.2835,22.12
169,899.0,0.0,0.2835,22.12
170,901.0,0.0,0.2835,22.12
171,903.0,0.0,0.2835,22.12
172,905.0,0.0,0.2835,22.12
173,907.0,0.0,0.2835,22.12
174,909.0,0.0,0.2835,22.12
175,911.0,0.0,0.2835,22.12
176,913.0,0.0,0.2835,22.12
177,915.0,0.0,0.2835,22.12
178,917.0,0.0,0.2835,22.12
179,919.0,0.0,0.2835,22.12
180,921.0,0.0,0.2835,22.12
181,923.0,0.0,0.2835,22.12
182,925.0,0.0,0.2835,22.12
183,927.0,0.0,0.2835,22.12
184,929.0,0.0,0.2835,22.12
185,931.0,0.0,0.2835,22.12
186,933.0,0.0,0.2835,22.12
187,935.0,0.0,0.2835,22.12
188,937.0,0.0,0.2835,22.12
189,940.0,0.0,0.2835,22.12
190,942.0,0.0,0.2835,22.12
191,944.0,0.0,0.2835,22.12
192,946.0,0.0,0.2835,22.12
193,948.0,0.0,0.2835,22.12
194,951.0,0.0,0.2835,22.12
195,953.0,0.1564,0.2835,22.12
196,955.0,0.0293,0.2835,22.12
197,957.0,0.0147,0.2835,22.12
198,959.0,0.0098,0.2835,22.12
199,961.0,0.0098,0.2835,22.12
200,963.0,0.0049,0.2835,22.12
201,965.0,0.0,0.2835,22.12
202,967.0,0.0,0.2835,22.12
203,969.0,0.0,0.2835,22.12
204,971.0,0.0,0.2835,22.12
205,973.0,0.0,0.2835,22.12
206,975.0,0.0,0.2835,22.12
207,977.0,0.0,0.2835,22.12
208,979.0,0.0,0.2835,22.12
209,982.0,0.0,0.2835,22.12
210,984.0,0.0,0.2835,22.12
211,8540.0,0.0,0.2835,22.19
212,8542.0,0.0,0.2884,22.19
213,8544.0,0.1564,0.2835,22.19
214,8546.0,0.0293,0.2835,22.19
215,8548.0,0.0147,0.2835,22.19
216,8550.0,0.0098,0.2835,22.19
217,8552.0,0.0098,0.2835,22.19
218,8554.0,0.0049,0.2835,22.19
219,8556.0,0.0,0.2835,22.19
220,8558.0,0.0,0.2835,22.19
221,8560.0,0.0,0.2835,22.19
222,8563.0,0.0,0.2835,22.19
223,8565.0,0.0,0.2835,22.19
224,8567.0,0.0,0.2835,22.19
225,8569.0,0.0,0.2835,22.19
226,8571.0,0.0,0.2835,22.19
227,8573.0,0.0,0.2835,22.19
228,8576.0,0.0,0.2835,22.19
229,8578.0,0.0,0.2835,22.19
230,8580.0,0.0,0.2835,22.19
231,8582.0,0.0,0.2835,22.19
232,8584.0,0.0,0.2835,22.19
233,8586.0,0.0,0.2835,22.19
234,8588.0,0.0,0.2835,22.19
235,8590.0,0.0,0.2835,22.19
236,8592.0,0.0,0.2835,22.19
237,8595.0,0.0,0.2835,22.19
238,8597.0,0.0,0.2835,22.19
239,8599.0,0.0,0.2835,22.19
240,8601.0,0.0,0.2835,22.19
241,8603.0,0.0,0.2835,22.19
242,8605.0,0.0,0.2835,22.19
243,8607.0,0.0,0.2835,22.19
244,8609.0,0.0,0.2835,22.19
245,8611.0,0.0,0.2835,22.19
246,8613.0,0.0,0.2835,22.19
247,8615.0,0.0,0.2835,22.19
248,8617.0,0.0,0.2835,22.19
249,8620.0,0.0,0.2835,22.19
250,8622.0,0.0,0.2835,22.19
251,8624.0,0.0,0.2835,22.19
252,8627.0,0.0,0.2835,22.19
253,8629.0,0.0,0.2835,22.19
254,8631.0,0.0,0.2835,22.19
255,8633.0,0.0,0.2835,22.19
256,8635.0,0.0,0.2835,22.19
257,8637.0,0.0,0.2835,22.19
258,8639.0,0.0,0.2835,22.19
259,8641.0,0.0,0.2835,22.19
260,8643.0,0.0,0.2835,22.19
261,8645.0,0.1564,0.2884,22.19
262,8647.0,0.0293,0.2884,22.19
263,8650.0,0.0147,0.2884,22.19
264,8652.0,0.0098,0.2884,22.19
265,8654.0,0.0049,0.2884,22.19
266,8656.0,0.0,0.2884,22.19
267,8658.0,0.0,0.2884,22.19
268,8660.0,0.0,0.2884,22.19
269,8663.0,0.0,0.2884,22.19
270,8665.0,0.0,0.2884,22.19
271,8667.0,0.0,0.2884,22.19
272,8669.0,0.0,0.2884,22.19
273,8671.0,0.0,0.2884,22.19
274,8673.0,0.0,0.2884,22.19
275,8675.0,0.0,0.2884,22.19
276,8677.0,0.0,0.2884,22.19
277,8679.0,0.0,0.2884,22.19
278,8682.0,0.0,0.2884,22.19
279,8684.0,0.0,0.2884,22.19
280,8686.0,0.0,0.2884,22.19
281,8688.0,0.0,0.2884,22.19
282,8690.0,0.0,0.2884,22.19
283,8692.0,0.0,0.2884,22.19
284,8694.0,0.0,0.2884,22.19
285,8696.0,0.0,0.2884,22.19
286,8698.0,0.0,0.2884,22.19
287,8700.0,0.0,0.2884,22.19
288,8702.0,0.0,0.2884,22.19
289,8705.0,0.0,0.2884,22.19
290,8707.0,0.0,0.2884,22.19
291,8709.0,0.0,0.2884,22.19
292,8711.0,0.0,0.2884,22.19
293,8713.0,0.0,0.2884,22.19
294,8716.0,0.0,0.2884,22.19
295,8718.0,0.0,0.2884,22.19
296,8720.0,0.0,0.2884,22.19
297,8722.0,0.0,0.2884,22.19
298,8724.0,0.0,0.2884,22.19
299,8726.0,0.0,0.2884,22.19
300,8728.0,0.0,0.2884,22.19
301,8730.0,0.0,0.2884,22.19
302,8732.0,0.0,0.2884,22.19
303,8734.0,0.0,0.2884,22.19
304,8736.0,0.0,0.2884,22.19
305,8738.0,0.0,0.2884,22.19
306,8740.0,0.0,0.2884,22.19
307,8742.0,0.0,0.2884,22.19
308,8745.0,0.0,0.2884,22.19
309,8748.0,0.1564,0.2835,22.19
310,8750.0,0.0293,0.2835,22.19
311,8752.0,0.0147,0.2835,22.19
312,8754.0,0.0098,0.2835,22.19
313,8756.0,0.0049,0.2835,22.19
314,8758.0,0.0,0.2835,22.19
315,8760.0,0.0,0.2835,22.19
316,8762.0,0.0,0.2835,22.19
317,8764.0,0.0,0.2835,22.19
318,8766.0,0.0,0.2835,22.19
319,8768.0,0.0,0.2835,22.19
320,8771.0,0.0,0.2835,22.19
321,8773.0,0.0,0.2835,22.19
322,8775.0,0.0,0.2835,22.19
323,8777.0,0.0,0.2835,22.19
324,8779.0,0.0,0.2835,22.19
325,8781.0,0.0,0.2835,22.19
326,8783.0,0.0,0.2835,22.19
327,8785.0,0.0,0.2835,22.19
328,8787.0,0.0,0.2835,22.19
329,8790.0,0.0,0.2835,22.19
330,8792.0,0.0,0.2835,22.19
331,8794.0,0.0,0.2835,22.19
332,8796.0,0.0,0.2835,22.19
333,8798.0,0.0,0.2835,22.19
