,Time (ms),VConstant (v),VSpike (v),Temperature (C)
0,546.0,0.0,0.0,22.25
1,548.0,0.3861,0.7674,22.25
2,550.0,0.0782,0.7674,22.25
3,552.0,0.0489,0.7674,22.25
4,555.0,0.0391,0.7674,22.25
5,557.0,0.0293,0.7674,22.25
6,560.0,0.0,0.7674,22.25
7,562.0,0.0,0.7674,22.25
8,564.0,0.0,0.7674,22.25
9,566.0,0.0,0.7674,22.25
10,568.0,0.0,0.7674,22.25
11,570.0,0.0,0.7674,22.25
12,572.0,0.0,0.7674,22.25
13,574.0,0.0,0.7674,22.25
14,576.0,0.0,0.7674,22.25
15,578.0,0.0,0.7674,22.25
16,580.0,0.0,0.7674,22.25
17,582.0,0.0,0.7674,22.25
18,584.0,0.0,0.7674,22.25
19,586.0,0.0,0.7674,22.25
20,588.0,0.0,0.7674,22.25
21,590.0,0.0,0.7674,22.25
22,592.0,0.0,0.7674,22.25
23,594.0,0.0,0.7674,22.25
24,596.0,0.0,0.7674,22.25
25,599.0,0.0,0.7674,22.25
26,601.0,0.0,0.7674,22.25
27,603.0,0.0,0.7674,22.25
28,605.0,0.0,0.7674,22.25
29,607.0,0.0,0.7674,22.25
30,609.0,0.0,0.7674,22.25
31,611.0,0.0,0.7674,22.25
32,613.0,0.0,0.7674,22.25
33,615.0,0.0,0.7674,22.25
34,617.0,0.0,0.7674,22.25
35,619.0,0.0,0.7674,22.25
36,621.0,0.0,0.7674,22.25
37,623.0,0.0,0.7674,22.25
38,625.0,0.0,0.7674,22.25
39,627.0,0.0,0.7674,22.25
40,629.0,0.0,0.7674,22.25
41,631.0,0.0,0.7674,22.25
42,633.0,0.0,0.7674,22.25
43,635.0,0.0,0.7674,22.25
44,637.0,0.0,0.7674,22.25
45,640.0,0.0,0.7674,22.25
46,642.0,0.0,0.7674,22.25
47,644.0,0.0,0.7674,22.25
48,646.0,0.0,0.7674,22.25
49,648.0,0.0,0.7674,22.25
50,651.0,0.3812,0.7478,22.25
