,Time (ms),VConstant (v),VSpike (v),Temperature (C)
0,33.0,0.0,0.0,22.69
1,546.0,0.435,0.6794,22.69
2,548.0,0.1222,0.6794,22.69
3,550.0,0.0831,0.6794,22.69
4,552.0,0.0635,0.6794,22.69
5,555.0,0.0538,0.6794,22.69
6,557.0,0.0,0.6794,22.69
7,560.0,0.0,0.6794,22.69
8,562.0,0.0,0.6794,22.69
9,564.0,0.0,0.6794,22.69
10,566.0,0.0,0.6794,22.69
11,568.0,0.0,0.6794,22.69
12,570.0,0.0,0.6794,22.69
13,572.0,0.0,0.6794,22.69
14,574.0,0.0,0.6794,22.69
15,576.0,0.0,0.6794,22.69
16,578.0,0.0,0.6794,22.69
17,580.0,0.0,0.6794,22.69
18,582.0,0.0,0.6794,22.69
19,584.0,0.0,0.6794,22.69
20,586.0,0.0,0.6794,22.69
21,588.0,0.0,0.6794,22.69
22,590.0,0.0,0.6794,22.69
23,592.0,0.0,0.6794,22.69
24,594.0,0.0,0.6794,22.69
25,596.0,0.0,0.6794,22.69
26,599.0,0.0,0.6794,22.69
27,601.0,0.0,0.6794,22.69
28,603.0,0.0,0.6794,22.69
29,605.0,0.0,0.6794,22.69
30,607.0,0.0,0.6794,22.69
31,609.0,0.0,0.6794,22.69
32,611.0,0.0,0.6794,22.69
33,613.0,0.0,0.6794,22.69
34,615.0,0.0,0.6794,22.69
35,617.0,0.0,0.6794,22.69
36,619.0,0.0,0.6794,22.69
37,621.0,0.0,0.6794,22.69
38,623.0,0.0,0.6794,22.69
39,625.0,0.0,0.6794,22.69
40,627.0,0.0,0.6794,22.69
41,629.0,0.0,0.6794,22.69
42,631.0,0.0,0.6794,22.69
43,633.0,0.0,0.6794,22.69
44,635.0,0.0,0.6794,22.69
45,637.0,0.0,0.6794,22.69
46,640.0,0.0,0.6794,22.69
47,643.0,0.0,0.6794,22.69
48,645.0,0.0,0.6794,22.69
49,647.0,0.4399,0.6989,22.69
50,649.0,0.1124,0.6989,22.69
51,651.0,0.0782,0.6989,22.69
52,653.0,0.0587,0.6989,22.69
