,Time (ms),VConstant (v),VSpike (v),Temperature (C)
0,546.0,0.0,0.0,22.5
1,548.0,0.3421,0.3763,22.5
2,550.0,0.2493,0.3763,22.5
3,552.0,0.2199,0.3763,22.5
4,555.0,0.2004,0.3763,22.5
5,557.0,0.1808,0.3763,22.5
6,559.0,0.0,0.3763,22.5
7,562.0,0.0,0.3763,22.5
8,564.0,0.0,0.3763,22.5
9,566.0,0.0,0.3763,22.5
10,568.0,0.0,0.3763,22.5
11,570.0,0.0,0.3763,22.5
12,572.0,0.0,0.3763,22.5
13,574.0,0.0,0.3763,22.5
14,576.0,0.0,0.3763,22.5
15,578.0,0.0,0.3763,22.5
16,580.0,0.0,0.3763,22.5
17,582.0,0.0,0.3763,22.5
18,584.0,0.0,0.3763,22.5
19,586.0,0.0,0.3763,22.5
20,588.0,0.0,0.3763,22.5
21,590.0,0.0,0.3763,22.5
22,592.0,0.0,0.3763,22.5
23,594.0,0.0,0.3763,22.5
24,596.0,0.0,0.3763,22.5
25,599.0,0.0,0.3763,22.5
26,601.0,0.0,0.3763,22.5
27,603.0,0.0,0.3763,22.5
28,605.0,0.0,0.3763,22.5
29,607.0,0.0,0.3763,22.5
30,609.0,0.0,0.3763,22.5
31,611.0,0.0,0.3763,22.5
32,613.0,0.0,0.3763,22.5
33,615.0,0.0,0.3763,22.5
34,617.0,0.0,0.3763,22.5
35,619.0,0.0,0.3763,22.5
36,621.0,0.0,0.3763,22.5
37,623.0,0.0,0.3763,22.5
38,625.0,0.0,0.3763,22.5
39,627.0,0.0,0.3763,22.5
40,629.0,0.0,0.3763,22.5
41,631.0,0.0,0.3763,22.5
42,633.0,0.0,0.3763,22.5
43,635.0,0.0,0.3763,22.5
44,637.0,0.0,0.3763,22.5
45,640.0,0.0,0.3763,22.5
46,642.0,0.0,0.3763,22.5
47,644.0,0.0,0.3763,22.5
48,646.0,0.0,0.3763,22.5
49,648.0,0.0,0.3763,22.5
50,651.0,0.3372,0.3715,22.5
51,653.0,0.2444,0.3715,22.5
52,655.0,0.2151,0.3715,22.5
53,657.0,0.1906,0.3715,22.5
54,659.0,0.176,0.3715,22.5
55,661.0,0.0,0.3715,22.5
56,663.0,0.0,0.3715,22.5
57,665.0,0.0,0.3715,22.5
58,667.0,0.0,0.3715,22.5
59,669.0,0.0,0.3715,22.5
60,671.0,0.0,0.3715,22.5
61,673.0,0.0,0.3715,22.5
62,675.0,0.0,0.3715,22.5
63,677.0,0.0,0.3715,22.5
64,679.0,0.0,0.3715,22.5
65,681.0,0.0,0.3715,22.5
66,684.0,0.0,0.3715,22.5
67,686.0,0.0,0.3715,22.5
68,688.0,0.0,0.3715,22.5
69,690.0,0.0,0.3715,22.5
70,692.0,0.0,0.3715,22.5
71,694.0,0.0,0.3715,22.5
72,696.0,0.0,0.3715,22.5
73,698.0,0.0,0.3715,22.5
74,700.0,0.0,0.3715,22.5
75,702.0,0.0,0.3715,22.5
76,704.0,0.0,0.3715,22.5
77,706.0,0.0,0.3715,22.5
78,708.0,0.0,0.3715,22.5
79,710.0,0.0,0.3715,22.5
80,712.0,0.0,0.3715,22.5
81,714.0,0.0,0.3715,22.5
82,717.0,0.0,0.3715,22.5
83,719.0,0.0,0.3715,22.5
84,721.0,0.0,0.3715,22.5
85,723.0,0.0,0.3715,22.5
86,726.0,0.0,0.3715,22.5
87,728.0,0.0,0.3715,22.5
88,730.0,0.0,0.3715,22.5
89,732.0,0.0,0.3715,22.5
90,734.0,0.0,0.3715,22.5
91,736.0,0.0,0.3715,22.5
92,738.0,0.0,0.3715,22.5
93,740.0,0.0,0.3715,22.5
94,742.0,0.0,0.3715,22.5
95,744.0,0.0,0.3715,22.5
96,746.0,0.0,0.3715,22.5
97,748.0,0.0,0.3715,22.5
98,750.0,0.0,0.3715,22.5
99,752.0,0.3372,0.3715,22.5
100,754.0,0.2444,0.3715,22.5
101,756.0,0.2102,0.3715,22.5
102,758.0,0.1857,0.3715,22.5
103,760.0,0.1711,0.3715,22.5
104,762.0,0.1564,0.3715,22.5
105,764.0,0.0,0.3715,22.5
106,766.0,0.0,0.3715,22.5
107,769.0,0.0,0.3715,22.5
108,771.0,0.0,0.3715,22.5
109,773.0,0.0,0.3715,22.5
110,776.0,0.0,0.3715,22.5
111,778.0,0.0,0.3715,22.5
112,780.0,0.0,0.3715,22.5
113,782.0,0.0,0.3715,22.5
114,784.0,0.0,0.3715,22.5
115,786.0,0.0,0.3715,22.5
116,788.0,0.0,0.3715,22.5
117,790.0,0.0,0.3715,22.5
118,792.0,0.0,0.3715,22.5
119,794.0,0.0,0.3715,22.5
120,796.0,0.0,0.3715,22.5
121,798.0,0.0,0.3715,22.5
122,800.0,0.0,0.3715,22.5
123,802.0,0.0,0.3715,22.5
124,804.0,0.0,0.3715,22.5
125,806.0,0.0,0.3715,22.5
126,808.0,0.0,0.3715,22.5
127,811.0,0.0,0.3715,22.5
128,813.0,0.0,0.3715,22.5
129,815.0,0.0,0.3715,22.5
130,817.0,0.0,0.3715,22.5
131,819.0,0.0,0.3715,22.5
132,821.0,0.0,0.3715,22.5
133,823.0,0.0,0.3715,22.5
134,825.0,0.0,0.3715,22.5
135,827.0,0.0,0.3715,22.5
136,829.0,0.0,0.3715,22.5
137,831.0,0.0,0.3715,22.5
138,833.0,0.0,0.3715,22.5
139,835.0,0.0,0.3715,22.5
140,837.0,0.0,0.3715,22.5
141,839.0,0.0,0.3715,22.5
142,841.0,0.0,0.3715,22.5
143,843.0,0.0,0.3715,22.5
144,845.0,0.0,0.3715,22.5
145,847.0,0.0,0.3715,22.5
146,849.0,0.0,0.3715,22.5
147,851.0,0.0,0.3715,22.5
148,855.0,0.3324,0.3715,22.5
149,857.0,0.2444,0.3715,22.5
150,859.0,0.2102,0.3715,22.5
151,861.0,0.1857,0.3715,22.5
152,863.0,0.1662,0.3715,22.5
153,865.0,0.0,0.3715,22.5
154,867.0,0.0,0.3715,22.5
155,869.0,0.0,0.3715,22.5
156,871.0,0.0,0.3715,22.5
157,873.0,0.0,0.3715,22.5
158,875.0,0.0,0.3715,22.5
159,877.0,0.0,0.3715,22.5
160,879.0,0.0,0.3715,22.5
161,881.0,0.0,0.3715,22.5
162,883.0,0.0,0.3715,22.5
163,885.0,0.0,0.3715,22.5
164,887.0,0.0,0.3715,22.5
165,889.0,0.0,0.3715,22.5
166,891.0,0.0,0.3715,22.5
167,893.0,0.0,0.3715,22.5
168,896.0,0.0,0.3715,22.5
169,898.0,0.0,0.3715,22.5
170,900.0,0.0,0.3715,22.5
171,902.0,0.0,0.3715,22.5
172,904.0,0.0,0.3715,22.5
173,906.0,0.0,0.3715,22.5
